ATRNOMECIDADE,ATRSIGLAESTADO,ATRDATAINICIO,ATRDATAFINAL,ATRDOMINGO,ATRSEGUNDA,ATRTERCA,ATRQUARTA,ATRQUINTA,ATRSEXTA,ATRSABADO
Diadema,SP,20201124,20201124,S,S,S,S,S,S,S
Diadema,SP,20201123,20201123,S,S,S,S,S,S,S
Diadema,SP,20201120,20201120,S,S,S,S,S,S,S
Diadema,SP,20201119,20201119,S,S,S,S,S,S,S
Diadema,SP,20201118,20201118,S,S,S,S,S,S,S
Diadema,SP,20201117,20201117,S,S,S,S,S,S,S
Diadema,SP,20201116,20201116,S,S,S,S,S,S,S
Diadema,SP,20201113,20201113,S,S,S,S,S,S,S
Diadema,SP,20201112,20201112,S,S,S,S,S,S,S
Diadema,SP,20201111,20201111,S,S,S,S,S,S,S
Diadema,SP,20201110,20201110,S,S,S,S,S,S,S
Diadema,SP,20201109,20201109,S,S,S,S,S,S,S
Diadema,SP,20201106,20201106,S,S,S,S,S,S,S
Diadema,SP,20201105,20201105,S,S,S,S,S,S,S
Diadema,SP,20201104,20201104,S,S,S,S,S,S,S
Diadema,SP,20201103,20201103,S,S,S,S,S,S,S
Diadema,SP,20210208,20210331,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200713,S,S,S,S,S,S,S
Guarulhos,SP,20200320,20210303,S,S,S,S,S,S,S
Guarulhos,SP,20200601,20210907,S,S,S,S,S,S,S
Campinas,SP,20220705,99991231,S,S,S,S,S,S,S
Campinas,SP,20200317,20220630,S,S,S,S,S,S,S
Guarulhos,SP,20200320,20200813,S,S,S,S,S,S,S
São Paulo,SP,20211117,20230409,S,N,N,N,N,N,S
São Paulo,SP,20200320,20211116,S,S,S,S,S,S,S
São José dos Campos,SP,20220701,99991231,S,S,S,S,S,S,S
São José dos Campos,SP,20210320,20220630,S,S,S,S,S,S,S
Campinas,SP,20200320,20210831,S,S,S,S,S,S,S
Indaiatuba,SP,20210701,20211219,S,S,S,S,S,S,S
São Paulo,SP,20220201,99991231,S,S,S,S,S,S,S
São Paulo,SP,20211201,20211231,S,S,S,S,S,S,S
São Paulo,SP,20201230,20201230,S,S,S,S,S,S,S
São Paulo,SP,20201229,20201229,S,S,S,S,S,S,S
São Paulo,SP,20201228,20201228,S,S,S,S,S,S,S
São Paulo,SP,20201223,20201223,S,S,S,S,S,S,S
São Paulo,SP,20201222,20201222,S,S,S,S,S,S,S
São Paulo,SP,20201221,20201221,S,S,S,S,S,S,S
São Paulo,SP,20201218,20201218,S,S,S,S,S,S,S
São Paulo,SP,20201217,20201217,S,S,S,S,S,S,S
São Paulo,SP,20201216,20201216,S,S,S,S,S,S,S
São Paulo,SP,20201215,20201215,S,S,S,S,S,S,S
São Paulo,SP,20201214,20201214,S,S,S,S,S,S,S
São Paulo,SP,20201211,20201211,S,S,S,S,S,S,S
São Paulo,SP,20201210,20201210,S,S,S,S,S,S,S
São Paulo,SP,20201209,20201209,S,S,S,S,S,S,S
São Paulo,SP,20201208,20201208,S,S,S,S,S,S,S
